Questions,Answer,1 Distractor,2 Distractor,3 Distractor,4 Distractor
৪টি কাঁঠাল এবং ৫টি তরমুজের ওজনের সমষ্টি ৩২কিলোগ্রাম। ৫টি কাঠাল এবং ৪টি তরমুজের ওজনের সমষ্টি ৩১ কিলোগ্রাম। উপরের সব কাঠালের ওজন সমান এবং সব তরমুজের ওজন সমান । ১ কাঠাল ও ১ তরমুজের ওজন কত?,"কাঠালের ওজন ৩ কিলোগ্রাম , তরমুজের ওজন ৪ কিলোগ্রাম",৪টি কাঁঠাল এবং ৫টি তরমুজের ওজনের সমষ্টি ৩২কিলোগ্রাম। ৫টি কাঠাল এবং ৪টি তরমুজের ওজনের সমষ্টি ৩১ কিলোগ্রাম। উপরের সব কাঠালের ওজন সমান এবং সব তরমুজের ওজন সমান । ১ কাঠাল ও ১ তরমুজের ওজন কত? ফলগুলো মোট ৪০ জন মানুষের জন্য কেনা হয়েছিল।,৪টি কাঁঠাল এবং ৫টি তরমুজের ওজনের সমষ্টি ৩২কিলোগ্রাম। ৫টি কাঠাল এবং ৪টি তরমুজের ওজনের সমষ্টি ৩১ কিলোগ্রাম। উপরের সব কাঠালের ওজন সমান এবং সব তরমুজের ওজন সমান । ১ কাঠাল ও ১ তরমুজের ওজন কত? ফলগুলো মোট ৪০ জন মানুষের জন্য কেনা হয়েছিল। এই ফলগুলো কিনতে মোট ৫০০ টাকা খরচ হয়েছে।,৪টি কাঁঠাল এবং ৫টি তরমুজের ওজনের সমষ্টি ৩২কিলোগ্রাম। ৫টি কাঠাল এবং ৪টি তরমুজের ওজনের সমষ্টি ৩১ কিলোগ্রাম। উপরের সব কাঠালের ওজন সমান এবং সব তরমুজের ওজন সমান । ১ কাঠাল ও ১ তরমুজের ওজন কত? ফলগুলো মোট ৪০ জন মানুষের জন্য কেনা হয়েছিল। এই ফলগুলো কিনতে মোট ৫০০ টাকা খরচ হয়েছে। প্রতিটি তরমুজের বীজ সংখ্যা প্রায় ৩০০।,৪টি কাঁঠাল এবং ৫টি তরমুজের ওজনের সমষ্টি ৩২কিলোগ্রাম। ৫টি কাঠাল এবং ৪টি তরমুজের ওজনের সমষ্টি ৩১ কিলোগ্রাম। উপরের সব কাঠালের ওজন সমান এবং সব তরমুজের ওজন সমান । ১ কাঠাল ও ১ তরমুজের ওজন কত? ফলগুলো মোট ৪০ জন মানুষের জন্য কেনা হয়েছিল। এই ফলগুলো কিনতে মোট ৫০০ টাকা খরচ হয়েছে। প্রতিটি তরমুজের বীজ সংখ্যা প্রায় ৩০০। বাজারে মোট ৫০টি কাঁঠাল ও তরমুজ বিক্রি হচ্ছিল।
"কোন একটি বিয়ের অনুষ্ঠানে রান্না করতে বাবুর্চি ও তার সহকর্মী মোট ৪০০টি পেঁয়াজ কাটেন। বাবুর্চি প্রতি মিনিটে অন্তত ৩টি পেঁয়াজ এবং তার সহকর্মী প্রতি মিনিটে অন্তত ২টি পেঁয়াজ কাটতে পারে। যদি বাবুর্চি তার সহকর্মীর চেয়ে ২৫ মিনিট আগে পেঁয়াজ কাটা বন্ধ, তবে কে কতটি পেঁয়াজ কেটেছিল আর কার কতক্ষণ সময় লেগেছিল?","বাবুর্চী কাটে ৭০ মিনিটে ২১০টি পেঁয়াজ, সহকারী কাটে ১৯০টি পেঁয়াজ ৯৫ মিনিটে","কোন একটি বিয়ের অনুষ্ঠানে রান্না করতে বাবুর্চি ও তার সহকর্মী মোট ৪০০টি পেঁয়াজ কাটেন। বাবুর্চি প্রতি মিনিটে অন্তত ৩টি পেঁয়াজ এবং তার সহকর্মী প্রতি মিনিটে অন্তত ২টি পেঁয়াজ কাটতে পারে। যদি বাবুর্চি তার সহকর্মীর চেয়ে ২৫ মিনিট আগে পেঁয়াজ কাটা বন্ধ, তবে কে কতটি পেঁয়াজ কেটেছিল আর কার কতক্ষণ সময় লেগেছিল? বিয়েতে মোট ৫০০ জন অতিথি উপস্থিত ছিলেন।","কোন একটি বিয়ের অনুষ্ঠানে রান্না করতে বাবুর্চি ও তার সহকর্মী মোট ৪০০টি পেঁয়াজ কাটেন। বাবুর্চি প্রতি মিনিটে অন্তত ৩টি পেঁয়াজ এবং তার সহকর্মী প্রতি মিনিটে অন্তত ২টি পেঁয়াজ কাটতে পারে। যদি বাবুর্চি তার সহকর্মীর চেয়ে ২৫ মিনিট আগে পেঁয়াজ কাটা বন্ধ, তবে কে কতটি পেঁয়াজ কেটেছিল আর কার কতক্ষণ সময় লেগেছিল? বিয়েতে মোট ৫০০ জন অতিথি উপস্থিত ছিলেন। মোট অনুষ্ঠানের সময়কাল ছিল ৫ ঘণ্টা।","কোন একটি বিয়ের অনুষ্ঠানে রান্না করতে বাবুর্চি ও তার সহকর্মী মোট ৪০০টি পেঁয়াজ কাটেন। বাবুর্চি প্রতি মিনিটে অন্তত ৩টি পেঁয়াজ এবং তার সহকর্মী প্রতি মিনিটে অন্তত ২টি পেঁয়াজ কাটতে পারে। যদি বাবুর্চি তার সহকর্মীর চেয়ে ২৫ মিনিট আগে পেঁয়াজ কাটা বন্ধ, তবে কে কতটি পেঁয়াজ কেটেছিল আর কার কতক্ষণ সময় লেগেছিল? বিয়েতে মোট ৫০০ জন অতিথি উপস্থিত ছিলেন। মোট অনুষ্ঠানের সময়কাল ছিল ৫ ঘণ্টা। রান্নার জন্য মোট ৫০০ কেজি সবজি ব্যবহার করা হয়েছিল।","কোন একটি বিয়ের অনুষ্ঠানে রান্না করতে বাবুর্চি ও তার সহকর্মী মোট ৪০০টি পেঁয়াজ কাটেন। বাবুর্চি প্রতি মিনিটে অন্তত ৩টি পেঁয়াজ এবং তার সহকর্মী প্রতি মিনিটে অন্তত ২টি পেঁয়াজ কাটতে পারে। যদি বাবুর্চি তার সহকর্মীর চেয়ে ২৫ মিনিট আগে পেঁয়াজ কাটা বন্ধ, তবে কে কতটি পেঁয়াজ কেটেছিল আর কার কতক্ষণ সময় লেগেছিল? বিয়েতে মোট ৫০০ জন অতিথি উপস্থিত ছিলেন। মোট অনুষ্ঠানের সময়কাল ছিল ৫ ঘণ্টা। রান্নার জন্য মোট ৫০০ কেজি সবজি ব্যবহার করা হয়েছিল। বাবুর্চির সহকারী গত ১০ বছর ধরে কাজ করছে।"
১০ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত ছিল ৭: ১ । বর্তমানে তাদের বয়সের অনুপাত ছিল ৩ঃ১। ১৬ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত কত?,১৬ বছর পূর্বে পুষ্পার জন্ম হয়নি,১০ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত ছিল ৭: ১ । বর্তমানে তাদের বয়সের অনুপাত ছিল ৩ঃ১। ১৬ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত কত? তাদের দুজনের বয়সের পার্থক্য এখন ৩০ বছর।,১০ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত ছিল ৭: ১ । বর্তমানে তাদের বয়সের অনুপাত ছিল ৩ঃ১। ১৬ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত কত? তাদের দুজনের বয়সের পার্থক্য এখন ৩০ বছর। তাদের পরিবারের মোট ৪ জন সদস্য।,১০ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত ছিল ৭: ১ । বর্তমানে তাদের বয়সের অনুপাত ছিল ৩ঃ১। ১৬ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত কত? তাদের দুজনের বয়সের পার্থক্য এখন ৩০ বছর। তাদের পরিবারের মোট ৪ জন সদস্য। তাদের মাসিক পড়াশোনার খরচ ৬০০ টাকা।,১০ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত ছিল ৭: ১ । বর্তমানে তাদের বয়সের অনুপাত ছিল ৩ঃ১। ১৬ বছর পূর্বে মিলি ও পুষ্পার বয়সের অনুপাত কত? তাদের দুজনের বয়সের পার্থক্য এখন ৩০ বছর। তাদের পরিবারের মোট ৪ জন সদস্য। তাদের মাসিক পড়াশোনার খরচ ৬০০ টাকা। তাদের স্কুলের দৈনিক ক্লাস সংখ্যা ৭টি।
"খেলনা গাড়ি নিয়ে খেলার সময় মিন্টু দেখলো , সেন্টুর গাড়ির সংখ্যা তার চেয়ে বেশি এবং সেন্টু কে বললো, তুমি আমাকে দুইটা গাড়ি দাও তাহলে আমাদের গাড়ির সংখ্যা সমান হবে ।সেন্টু উল্টো জোড় করে মিন্টুর থেকে ২টি গাড়ি নিয়ে হিসাব করে বলল তার গাড়ির সংখ্যা এখন মিন্টুর দ্বিগুণ । শুরুতে কার কয়টি গাড়ি ছিল ?","সেন্টুর ছিল ১০টি, মিন্টুর ছিল ১৪টি খেলনা গাড়ি","খেলনা গাড়ি নিয়ে খেলার সময় মিন্টু দেখলো , সেন্টুর গাড়ির সংখ্যা তার চেয়ে বেশি এবং সেন্টু কে বললো, তুমি আমাকে দুইটা গাড়ি দাও তাহলে আমাদের গাড়ির সংখ্যা সমান হবে ।সেন্টু উল্টো জোড় করে মিন্টুর থেকে ২টি গাড়ি নিয়ে হিসাব করে বলল তার গাড়ির সংখ্যা এখন মিন্টুর দ্বিগুণ । শুরুতে কার কয়টি গাড়ি ছিল ? তাদের মোট খেলনা গাড়ির সংখ্যা ২৫টির বেশি ছিল।","খেলনা গাড়ি নিয়ে খেলার সময় মিন্টু দেখলো , সেন্টুর গাড়ির সংখ্যা তার চেয়ে বেশি এবং সেন্টু কে বললো, তুমি আমাকে দুইটা গাড়ি দাও তাহলে আমাদের গাড়ির সংখ্যা সমান হবে ।সেন্টু উল্টো জোড় করে মিন্টুর থেকে ২টি গাড়ি নিয়ে হিসাব করে বলল তার গাড়ির সংখ্যা এখন মিন্টুর দ্বিগুণ । শুরুতে কার কয়টি গাড়ি ছিল ? তাদের মোট খেলনা গাড়ির সংখ্যা ২৫টির বেশি ছিল। প্রতিটি গাড়ির দাম ছিল ৩০ টাকা।","খেলনা গাড়ি নিয়ে খেলার সময় মিন্টু দেখলো , সেন্টুর গাড়ির সংখ্যা তার চেয়ে বেশি এবং সেন্টু কে বললো, তুমি আমাকে দুইটা গাড়ি দাও তাহলে আমাদের গাড়ির সংখ্যা সমান হবে ।সেন্টু উল্টো জোড় করে মিন্টুর থেকে ২টি গাড়ি নিয়ে হিসাব করে বলল তার গাড়ির সংখ্যা এখন মিন্টুর দ্বিগুণ । শুরুতে কার কয়টি গাড়ি ছিল ? তাদের মোট খেলনা গাড়ির সংখ্যা ২৫টির বেশি ছিল। প্রতিটি গাড়ির দাম ছিল ৩০ টাকা। তারা প্রতিদিন ৩ ঘণ্টা খেলনা গাড়ি দিয়ে খেলে।","খেলনা গাড়ি নিয়ে খেলার সময় মিন্টু দেখলো , সেন্টুর গাড়ির সংখ্যা তার চেয়ে বেশি এবং সেন্টু কে বললো, তুমি আমাকে দুইটা গাড়ি দাও তাহলে আমাদের গাড়ির সংখ্যা সমান হবে ।সেন্টু উল্টো জোড় করে মিন্টুর থেকে ২টি গাড়ি নিয়ে হিসাব করে বলল তার গাড়ির সংখ্যা এখন মিন্টুর দ্বিগুণ । শুরুতে কার কয়টি গাড়ি ছিল ? তাদের মোট খেলনা গাড়ির সংখ্যা ২৫টির বেশি ছিল। প্রতিটি গাড়ির দাম ছিল ৩০ টাকা। তারা প্রতিদিন ৩ ঘণ্টা খেলনা গাড়ি দিয়ে খেলে। তাদের খেলনা গাড়ির সংগ্রহে ১০টি বিভিন্ন মডেল ছিল।"
"বেরু গোয়ালার কাছে একটি কলসিতে ১০ লিটার দুধ এবং দুধ মাপার দুটি খালি পাত্র , একটি ৫ লিটারের, অপরটি ৩ লিটারের। সে ক্রেতাকে ১ লিটার দুধ বিক্রি করতে চায়। গোয়ালার কাছে জেডযেসব পাত্র আছে শুধু তা দিয়ে কিভাবে ক্রেতাকে ১ লিটার দুধ দেয়া সম্ভব?",প্রথমে ৩ লিটারের পাত্রে ৩ লিটার দুধ নিয়ে তা ৫ লিটারের পাত্রে ঢালতে হবে। এবারও একইভাবে আবারও ৩ লিটার দুধ নিয়ে ৫ লিটারের পাত্রে আছে আরো ঢালতে হবে যতক্ষণ না ৫ লিটারের পাত্রটি পূর্ণ হয়। পাত্রটি পূর্ণ হওয়ার পর যে অবশিষ্ট দুধ ৩ লিটারের পাত্রে থেকে যাবে তার পরিমাণ ১ লিটার।,"বেরু গোয়ালার কাছে একটি কলসিতে ১০ লিটার দুধ এবং দুধ মাপার দুটি খালি পাত্র , একটি ৫ লিটারের, অপরটি ৩ লিটারের। সে ক্রেতাকে ১ লিটার দুধ বিক্রি করতে চায়। গোয়ালার কাছে জেডযেসব পাত্র আছে শুধু তা দিয়ে কিভাবে ক্রেতাকে ১ লিটার দুধ দেয়া সম্ভব? গোয়ালার প্রতিদিন প্রায় ৩০ লিটার দুধ বিক্রি হয়।","বেরু গোয়ালার কাছে একটি কলসিতে ১০ লিটার দুধ এবং দুধ মাপার দুটি খালি পাত্র , একটি ৫ লিটারের, অপরটি ৩ লিটারের। সে ক্রেতাকে ১ লিটার দুধ বিক্রি করতে চায়। গোয়ালার কাছে জেডযেসব পাত্র আছে শুধু তা দিয়ে কিভাবে ক্রেতাকে ১ লিটার দুধ দেয়া সম্ভব? গোয়ালার প্রতিদিন প্রায় ৩০ লিটার দুধ বিক্রি হয়। তার খামারে মোট ২০টি গরু আছে।","বেরু গোয়ালার কাছে একটি কলসিতে ১০ লিটার দুধ এবং দুধ মাপার দুটি খালি পাত্র , একটি ৫ লিটারের, অপরটি ৩ লিটারের। সে ক্রেতাকে ১ লিটার দুধ বিক্রি করতে চায়। গোয়ালার কাছে জেডযেসব পাত্র আছে শুধু তা দিয়ে কিভাবে ক্রেতাকে ১ লিটার দুধ দেয়া সম্ভব? গোয়ালার প্রতিদিন প্রায় ৩০ লিটার দুধ বিক্রি হয়। তার খামারে মোট ২০টি গরু আছে। প্রতিটি গরুর ওজন প্রায় ৫০০ কেজি।","বেরু গোয়ালার কাছে একটি কলসিতে ১০ লিটার দুধ এবং দুধ মাপার দুটি খালি পাত্র , একটি ৫ লিটারের, অপরটি ৩ লিটারের। সে ক্রেতাকে ১ লিটার দুধ বিক্রি করতে চায়। গোয়ালার কাছে জেডযেসব পাত্র আছে শুধু তা দিয়ে কিভাবে ক্রেতাকে ১ লিটার দুধ দেয়া সম্ভব? গোয়ালার প্রতিদিন প্রায় ৩০ লিটার দুধ বিক্রি হয়। তার খামারে মোট ২০টি গরু আছে। প্রতিটি গরুর ওজন প্রায় ৫০০ কেজি। ক্রেতা তার থেকে মোট ৩ লিটার দুধ কিনতে চেয়েছিল।"
"একটি যৌথ পরিবারের মোট সদস্য (পুরুষ, মহিলা ও শিশু) ২০ জন। পরিবারের কর্তাবাবুর আদেশ ২০ মণ ধান পরিবারের সকল সদস্যের মধ্যে ভাগ করে দেয়া হবে। ভাগের নিয়ম হলঃ প্রত্যেক পুরুষ পাবে ৩ মণ, প্রত্যেক মহিলা পাবে ২ মণ, এবং প্রত্যেক শিশু পাবে ১ মণ ধান। প্রশ্ন হচ্ছে, কতজন করে ধান পাবে? অর্থাৎ পরিবারটির পুরুষ, মহিলাদের ও শিশুদের সংখ্যা কত?","১জন পুরুষ, ৫ জন মহিলা এবং ১৪ জন শিশু","একটি যৌথ পরিবারের মোট সদস্য (পুরুষ, মহিলা ও শিশু) ২০ জন। পরিবারের কর্তাবাবুর আদেশ ২০ মণ ধান পরিবারের সকল সদস্যের মধ্যে ভাগ করে দেয়া হবে। ভাগের নিয়ম হলঃ প্রত্যেক পুরুষ পাবে ৩ মণ, প্রত্যেক মহিলা পাবে ২ মণ, এবং প্রত্যেক শিশু পাবে ১ মণ ধান। প্রশ্ন হচ্ছে, কতজন করে ধান পাবে? অর্থাৎ পরিবারটির পুরুষ, মহিলাদের ও শিশুদের সংখ্যা কত? এই পরিবারে মোট ১০০টি কক্ষ আছে।","একটি যৌথ পরিবারের মোট সদস্য (পুরুষ, মহিলা ও শিশু) ২০ জন। পরিবারের কর্তাবাবুর আদেশ ২০ মণ ধান পরিবারের সকল সদস্যের মধ্যে ভাগ করে দেয়া হবে। ভাগের নিয়ম হলঃ প্রত্যেক পুরুষ পাবে ৩ মণ, প্রত্যেক মহিলা পাবে ২ মণ, এবং প্রত্যেক শিশু পাবে ১ মণ ধান। প্রশ্ন হচ্ছে, কতজন করে ধান পাবে? অর্থাৎ পরিবারটির পুরুষ, মহিলাদের ও শিশুদের সংখ্যা কত? এই পরিবারে মোট ১০০টি কক্ষ আছে। পরিবারের মাসিক ধানের খরচ প্রায় ৫০ মণ।","একটি যৌথ পরিবারের মোট সদস্য (পুরুষ, মহিলা ও শিশু) ২০ জন। পরিবারের কর্তাবাবুর আদেশ ২০ মণ ধান পরিবারের সকল সদস্যের মধ্যে ভাগ করে দেয়া হবে। ভাগের নিয়ম হলঃ প্রত্যেক পুরুষ পাবে ৩ মণ, প্রত্যেক মহিলা পাবে ২ মণ, এবং প্রত্যেক শিশু পাবে ১ মণ ধান। প্রশ্ন হচ্ছে, কতজন করে ধান পাবে? অর্থাৎ পরিবারটির পুরুষ, মহিলাদের ও শিশুদের সংখ্যা কত? এই পরিবারে মোট ১০০টি কক্ষ আছে। পরিবারের মাসিক ধানের খরচ প্রায় ৫০ মণ। তাদের বাড়ির আয়তন ছিল ২০০০ বর্গফুট।","একটি যৌথ পরিবারের মোট সদস্য (পুরুষ, মহিলা ও শিশু) ২০ জন। পরিবারের কর্তাবাবুর আদেশ ২০ মণ ধান পরিবারের সকল সদস্যের মধ্যে ভাগ করে দেয়া হবে। ভাগের নিয়ম হলঃ প্রত্যেক পুরুষ পাবে ৩ মণ, প্রত্যেক মহিলা পাবে ২ মণ, এবং প্রত্যেক শিশু পাবে ১ মণ ধান। প্রশ্ন হচ্ছে, কতজন করে ধান পাবে? অর্থাৎ পরিবারটির পুরুষ, মহিলাদের ও শিশুদের সংখ্যা কত? এই পরিবারে মোট ১০০টি কক্ষ আছে। পরিবারের মাসিক ধানের খরচ প্রায় ৫০ মণ। তাদের বাড়ির আয়তন ছিল ২০০০ বর্গফুট। পরিবারের সবচেয়ে বয়স্ক সদস্যের বয়স ৮০ বছর।"
দুই অঙ্কেরএকটি সংখ্যার তিন ভাগের এক ভাগ ও চার ভাগের এক ভাগের যোগফল ১৪ ।সংখ্যাটি কত হিসাবটি করো।,24,দুই অঙ্কেরএকটি সংখ্যার তিন ভাগের এক ভাগ ও চার ভাগের এক ভাগের যোগফল ১৪ ।সংখ্যাটি কত হিসাবটি করো। সংখ্যাটি ২৫ এর চেয়ে ছোট।,দুই অঙ্কেরএকটি সংখ্যার তিন ভাগের এক ভাগ ও চার ভাগের এক ভাগের যোগফল ১৪ ।সংখ্যাটি কত হিসাবটি করো। সংখ্যাটি ২৫ এর চেয়ে ছোট। সংখ্যাটির এককের অংক ৪।,দুই অঙ্কেরএকটি সংখ্যার তিন ভাগের এক ভাগ ও চার ভাগের এক ভাগের যোগফল ১৪ ।সংখ্যাটি কত হিসাবটি করো। সংখ্যাটি ২৫ এর চেয়ে ছোট। সংখ্যাটির এককের অংক ৪। সংখ্যাটির দশক স্থানীয় অঙ্কটি ২।,দুই অঙ্কেরএকটি সংখ্যার তিন ভাগের এক ভাগ ও চার ভাগের এক ভাগের যোগফল ১৪ ।সংখ্যাটি কত হিসাবটি করো। সংখ্যাটি ২৫ এর চেয়ে ছোট। সংখ্যাটির এককের অংক ৪। সংখ্যাটির দশক স্থানীয় অঙ্কটি ২। সংখ্যাটির অংকগুলোর যোগফল ৬।
"একটি ৫০০ মিটার লম্বা ট্রেনের গতি ৬০ কিলোমিটার হলে ,অর্ধকিলোমীটার লম্বা একটি সেতু পাড়ি দিতে ট্রেনটির কতক্ষণ সময় লাগবে?",১ মিনিট,"একটি ৫০০ মিটার লম্বা ট্রেনের গতি ৬০ কিলোমিটার হলে ,অর্ধকিলোমীটার লম্বা একটি সেতু পাড়ি দিতে ট্রেনটির কতক্ষণ সময় লাগবে? এই ট্রেনটি দিনে প্রায় ৫০০ কিলোমিটার পথ অতিক্রম করে।","একটি ৫০০ মিটার লম্বা ট্রেনের গতি ৬০ কিলোমিটার হলে ,অর্ধকিলোমীটার লম্বা একটি সেতু পাড়ি দিতে ট্রেনটির কতক্ষণ সময় লাগবে? এই ট্রেনটি দিনে প্রায় ৫০০ কিলোমিটার পথ অতিক্রম করে। ট্রেনটিতে মোট ১২টি বগি আছে।","একটি ৫০০ মিটার লম্বা ট্রেনের গতি ৬০ কিলোমিটার হলে ,অর্ধকিলোমীটার লম্বা একটি সেতু পাড়ি দিতে ট্রেনটির কতক্ষণ সময় লাগবে? এই ট্রেনটি দিনে প্রায় ৫০০ কিলোমিটার পথ অতিক্রম করে। ট্রেনটিতে মোট ১২টি বগি আছে। প্রতিটি বগিতে ৮০ জন যাত্রী বসতে পারে।","একটি ৫০০ মিটার লম্বা ট্রেনের গতি ৬০ কিলোমিটার হলে ,অর্ধকিলোমীটার লম্বা একটি সেতু পাড়ি দিতে ট্রেনটির কতক্ষণ সময় লাগবে? এই ট্রেনটি দিনে প্রায় ৫০০ কিলোমিটার পথ অতিক্রম করে। ট্রেনটিতে মোট ১২টি বগি আছে। প্রতিটি বগিতে ৮০ জন যাত্রী বসতে পারে। ট্রেনটি প্রতিদিন সকাল ৬টায় স্টেশন থেকে ছাড়ে।"
"১টি পার্কে ১/৩ ভাগ নারকেলগাছ, ১/৪ গাছআম গাছ, ১/৫ ভাগ বট গাছ এবং ৩৯টি ফুলের গাছ। বাগানে কোন গাছ কতটি রয়েছে এবং মোট গাছ কয়টি ?","নারিকেল গাছ 60টি, আম গাছ ৪৫টি, বট গাছ ৩৬টি, ফুলের গাছ ৩৯টি","১টি পার্কে ১/৩ ভাগ নারকেলগাছ, ১/৪ গাছআম গাছ, ১/৫ ভাগ বট গাছ এবং ৩৯টি ফুলের গাছ। বাগানে কোন গাছ কতটি রয়েছে এবং মোট গাছ কয়টি ? পার্কটিতে মোট ১০০টি বেঞ্চ আছে।","১টি পার্কে ১/৩ ভাগ নারকেলগাছ, ১/৪ গাছআম গাছ, ১/৫ ভাগ বট গাছ এবং ৩৯টি ফুলের গাছ। বাগানে কোন গাছ কতটি রয়েছে এবং মোট গাছ কয়টি ? পার্কটিতে মোট ১০০টি বেঞ্চ আছে। প্রতিদিন সকালে প্রায় ৩০০ জন মানুষ পার্কে হাঁটতে আসে।","১টি পার্কে ১/৩ ভাগ নারকেলগাছ, ১/৪ গাছআম গাছ, ১/৫ ভাগ বট গাছ এবং ৩৯টি ফুলের গাছ। বাগানে কোন গাছ কতটি রয়েছে এবং মোট গাছ কয়টি ? পার্কটিতে মোট ১০০টি বেঞ্চ আছে। প্রতিদিন সকালে প্রায় ৩০০ জন মানুষ পার্কে হাঁটতে আসে। পার্কটি ১০ একর জমির উপর অবস্থিত।","১টি পার্কে ১/৩ ভাগ নারকেলগাছ, ১/৪ গাছআম গাছ, ১/৫ ভাগ বট গাছ এবং ৩৯টি ফুলের গাছ। বাগানে কোন গাছ কতটি রয়েছে এবং মোট গাছ কয়টি ? পার্কটিতে মোট ১০০টি বেঞ্চ আছে। প্রতিদিন সকালে প্রায় ৩০০ জন মানুষ পার্কে হাঁটতে আসে। পার্কটি ১০ একর জমির উপর অবস্থিত। পার্কটি তৈরি করতে ২০ লক্ষ টাকা খরচ হয়েছিল।"
২০ গ্রাম লবণ দিয়ে ১০% লবণমিশ্রিত শরবত বানাতে কত লিটার পানির দরকার?,১.৮ লিটার,২০ গ্রাম লবণ দিয়ে ১০% লবণমিশ্রিত শরবত বানাতে কত লিটার পানির দরকার? এই শরবত বানানোর জন্য মোট ৫০০ মিলি লিটার চিনির রস ব্যবহার করা হয়েছিল।,২০ গ্রাম লবণ দিয়ে ১০% লবণমিশ্রিত শরবত বানাতে কত লিটার পানির দরকার? এই শরবত বানানোর জন্য মোট ৫০০ মিলি লিটার চিনির রস ব্যবহার করা হয়েছিল। শরবতটি ৫ জন অতিথিকে পরিবেশন করা হয়েছিল।,২০ গ্রাম লবণ দিয়ে ১০% লবণমিশ্রিত শরবত বানাতে কত লিটার পানির দরকার? এই শরবত বানানোর জন্য মোট ৫০০ মিলি লিটার চিনির রস ব্যবহার করা হয়েছিল। শরবতটি ৫ জন অতিথিকে পরিবেশন করা হয়েছিল। প্রতি লিটার চিনির রসের দাম ছিল ৫০ টাকা।,২০ গ্রাম লবণ দিয়ে ১০% লবণমিশ্রিত শরবত বানাতে কত লিটার পানির দরকার? এই শরবত বানানোর জন্য মোট ৫০০ মিলি লিটার চিনির রস ব্যবহার করা হয়েছিল। শরবতটি ৫ জন অতিথিকে পরিবেশন করা হয়েছিল। প্রতি লিটার চিনির রসের দাম ছিল ৫০ টাকা। এই শরবত তৈরিতে মোট ১০ গ্রাম চিনি ব্যবহার করা হয়েছিল।
৩০ কে ১/২ দিয়ে ভাগ করে ১০ যোগ করলে কত হয়?,70,"৩০ কে ১/২ দিয়ে ভাগ করে ১০ যোগ করলে কত হয়? এই হিসাবটি করার জন্য তার কাছে একটি ক্যালকুলেটর ছিল, যেখানে মোট ২০টি বোতাম ছিল।","৩০ কে ১/২ দিয়ে ভাগ করে ১০ যোগ করলে কত হয়? এই হিসাবটি করার জন্য তার কাছে একটি ক্যালকুলেটর ছিল, যেখানে মোট ২০টি বোতাম ছিল। তিনি প্রতিদিন এই ধরণের ৫টি গণিত সমস্যা সমাধান করেন।","৩০ কে ১/২ দিয়ে ভাগ করে ১০ যোগ করলে কত হয়? এই হিসাবটি করার জন্য তার কাছে একটি ক্যালকুলেটর ছিল, যেখানে মোট ২০টি বোতাম ছিল। তিনি প্রতিদিন এই ধরণের ৫টি গণিত সমস্যা সমাধান করেন। একটি সমস্যা সমাধান করতে তার ২ মিনিট সময় লাগে।","৩০ কে ১/২ দিয়ে ভাগ করে ১০ যোগ করলে কত হয়? এই হিসাবটি করার জন্য তার কাছে একটি ক্যালকুলেটর ছিল, যেখানে মোট ২০টি বোতাম ছিল। তিনি প্রতিদিন এই ধরণের ৫টি গণিত সমস্যা সমাধান করেন। একটি সমস্যা সমাধান করতে তার ২ মিনিট সময় লাগে। এই ক্যালকুলেটরটি ৫ বছর আগে কেনা হয়েছিল।"
