Question,Answer,Explanation,Steps,Digit,Grade
একটি ট্রেন একটি টেলিগ্রাফ পোস্টকে ৮ সেকেন্ডে এবং ২৬৪ মিটার দীর্ঘ একটি সেতুকে ২০ সেকেন্ডে অতিক্রম করে। ট্রেনটির গতি কত?,২২ মি/সে বা ৭৯.২ কিমি/ঘণ্টা,"ট্রেনটি নিজের দৈর্ঘ্য অতিক্রম করে ৮ সেকেন্ডে এবং (নিজের দৈর্ঘ্য + ২৬৪ মিটার) অতিক্রম করে ২০ সেকেন্ডে। অর্থাৎ, ২৬৪ মিটার যায় (২০-৮) = ১২ সেকেন্ডে। গতি = ২৬৪/১২ = ২২ মি/সে।",৩,৩,seven
স্রোতের প্রতিকূলে একটি নৌকার গতি ২ কিমি/ঘণ্টা এবং স্থির পানিতে নৌকার গতি ৪ কিমি/ঘণ্টা। স্রোতের অনুকূলে নৌকার গতি কত?,৬ কিমি/ঘণ্টা,স্থির পানিতে গতি = (অনুকূল+প্রতিকূল)/২। ৪ = (অনুকূল+২)/২ => অনুকূল = ৬ কিমি/ঘণ্টা।,২,২,seven
"দুটি সংখ্যার গ.সা.গু. ১২ এবং ল.সা.গু. ৭২। একটি সংখ্যা ২৪ হলে, অন্য সংখ্যাটি কত?",36,"আমরা জানি, সংখ্যা দুটির গুণফল = গ.সা.গু. × ল.সা.গু.। ২৪ × অন্য সংখ্যা = ১২ × ৭২। অন্য সংখ্যা = (১২×৭২)/২৪ = ৩৬।",২,২,seven
"ক, খ ও গ এর মাসিক গড় আয় ৫০০০ টাকা। খ, গ ও ঘ এর গড় আয় ৬০০০ টাকা। যদি ঘ এর আয় ৩০০০ টাকা হয়, তবে ক এর আয় কত?",০ টাকা,"ক+খ+গ = ১৫০০০। খ+গ+ঘ = ১৮০০০। ঘ=৩০০০ হলে, খ+গ=১৫০০০। সুতরাং, ক=০।",৩,৩,seven
একটি আয়তক্ষেত্রের দৈর্ঘ্য ১০% বাড়ানো হলো এবং প্রস্থ ১০% কমানো হলো। ক্ষেত্রফলের কী পরিবর্তন হবে?,১% কমবে,"ধরি, দৈর্ঘ্য ১০ এবং প্রস্থ ১০, ক্ষেত্রফল ১০০। নতুন দৈর্ঘ্য ১১, নতুন প্রস্থ ৯, নতুন ক্ষেত্রফল ৯৯। ক্ষেত্রফল কমেছে ১%।",২,৩,seven
"যদি A:B=2:3, B:C=4:5 হয়, তবে A:C কত?",৮:১৫,A:B:C = (২×৪):(৩×৪):(৩×৫) = ৮:১২:১৫। সুতরাং A:C = ৮:১৫।,২,১,seven
টাকায় ৬টি কিনে টাকায় ৫টি বিক্রি করলে লাভের হার কত?,20%,"ক্রয়মূল্য ১/৬ টাকা, বিক্রয়মূল্য ১/৫ টাকা। লাভ = ১/৫ - ১/৬ = ১/৩০। লাভের হার = (লাভ/ক্রয়মূল্য) × ১০০ = ((১/৩০)/(১/৬)) × ১০০ = ২০%।",২,১,seven
"একটি ঘড়ি প্রতিদিন ১৫ মিনিট ফাস্ট হয়। দুপুর ১২টায় সময় ঠিক করা হলে, পরদিন সকাল ৪টায় ঘড়িটি কী সময় দেখাবে?",সকাল ৪:১০,"১৬ ঘণ্টায় ফাস্ট হয় ১৫ মিনিট। ১২টা থেকে ৪টা পর্যন্ত মোট সময় ১৬ ঘণ্টা। ওহ, ২৪ ঘণ্টায় ফাস্ট হয় ১৫ মিনিট। ১৬ ঘণ্টায় ফাস্ট হবে (১৫/২৪)×১৬ = ১০ মিনিট। সময় দেখাবে ৪টা বেজে ১০ মিনিট।",২,২,seven
একটি নির্দিষ্ট মূলধন সরল সুদে ৩ বছরে ৩ গুণ হয়। কত বছরে এটি ৫ গুণ হবে?,৬ বছর,"ধরি, আসল P। ৩ বছরে সুদ ২P। সুদের হার R = (২P×১০০)/(P×৩) = ২০০/৩%। ৫ গুণ হতে হলে সুদ লাগবে ৪P। সময় = (৪P×১০০)/(P × ২০০/৩) = (৪০০P × ৩)/(P × ২০০) = ৬ বছর।",৩,১,seven
একটি সমবাহু ত্রিভুজের প্রতিটি বাহু ২ সেমি বাড়ালে এর ক্ষেত্রফল ৩√৩ বর্গ সেমি বেড়ে যায়। ত্রিভুজের বাহুর দৈর্ঘ্য কত?,২ সেমি,"ধরি, বাহু a। নতুন বাহু a+2। ক্ষেত্রফলের পার্থক্য = (√৩/৪)(a+2)² - (√৩/৪)a² = ৩√৩। (a+2)² - a² = ১২। ৪a+৪=১২, a=২।",৩,১,seven
দুটি গোলকের আয়তনের অনুপাত ৮:২৭। তাদের পৃষ্ঠের ক্ষেত্রফলের অনুপাত কত?,৪:৯,"আয়তনের অনুপাত r₁³:r₂³ = ৮:২৭, তাই ব্যাসার্ধের অনুপাত r₁:r₂ = ২:৩। পৃষ্ঠের ক্ষেত্রফলের অনুপাত r₁²:r₂² = ২²:৩² = ৪:৯।",২,১,seven
একটি চৌবাচ্চার একটি নল দিয়ে ১০ ঘণ্টায় পূর্ণ হয় এবং অপর একটি নল দিয়ে ১৫ ঘণ্টায় খালি হয়। দুটি নল একসাথে খোলা থাকলে চৌবাচ্চাটি কতক্ষণে পূর্ণ হবে?,৩০ ঘণ্টায়,১ ঘণ্টায় পূর্ণ হয় ১/১০ অংশ এবং খালি হয় ১/১৫ অংশ। একসাথে খোলা থাকলে ১ ঘণ্টায় পূর্ণ হয় (১/১০ - ১/১৫) = ১/৩০ অংশ। সময় লাগবে ৩০ ঘণ্টা।,৩,২,seven
"একটি দ্রব্য পরপর ২০%, ১৫% এবং ১০% ছাড়ে বিক্রি করা হলে, মোট ছাড়ের পরিমাণ কত?",38.80%,"ধরি, মূল্য ১০০। প্রথম ছাড়ের পর ৮০। দ্বিতীয় ছাড়ের পর ৮০×০.৮৫ = ৬৮। তৃতীয় ছাড়ের পর ৬৮×০.৯০ = ৬১.২। মোট ছাড় = ১০০ - ৬১.২ = ৩৮.৮%।",৩,২,seven
সাতটি ক্রমিক সংখ্যার গড় ২০। বৃহত্তম সংখ্যাটি কত?,23,"মাঝের সংখ্যাটি (চতুর্থ) হবে ২০। সংখ্যাগুলো হলো ১৭, ১৮, ১৯, ২০, ২১, ২২, ২৩। বৃহত্তম সংখ্যাটি ২৩।",২,২,seven
"A এবং B একসাথে একটি কাজ ১২ দিনে, B এবং C ১৫ দিনে, এবং C এবং A ২০ দিনে করতে পারে। তারা একসাথে কাজটি কতদিনে করতে পারবে?",১০ দিনে,"(A+B)-এর ১ দিনের কাজ ১/১২, (B+C)-এর ১/১৫, (C+A)-এর ১/২০। ২(A+B+C)-এর ১ দিনের কাজ = (১/১২+১/১৫+১/২০) = (৫+৪+৩)/৬০ = ১২/৬০=১/৫। (A+B+C)-এর ১ দিনের কাজ ১/১০। সময় লাগবে ১০ দিন।",৩,২,seven
একজন মাঝি স্রোতের অনুকূলে ঘণ্টায় ২১ কিমি এবং স্রোতের প্রতিকূলে ঘণ্টায় ৯ কিমি বেগে নৌকা চালায়। স্রোতের গতি কত?,৬ কিমি/ঘণ্টা,স্রোতের গতি = (অনুকূলের গতি - প্রতিকূলের গতি) / ২ = (২১-৯)/২ = ৬ কিমি/ঘণ্টা।,২,২,seven
"যদি একটি বৃত্তের ব্যাসার্ধ ১০০% বৃদ্ধি পায়, তবে এর ক্ষেত্রফল কত শতাংশ বৃদ্ধি পাবে?",300%,"ধরি, ব্যাসার্ধ r। ক্ষেত্রফল πr²। নতুন ব্যাসার্ধ ২r। নতুন ক্ষেত্রফল π(২r)² = ৪πr²। বৃদ্ধি = ৩πr²। শতাংশ বৃদ্ধি = (৩πr²/πr²) × ১০০% = ৩০০%।",২,২,seven
"৫০ জন লোক একটি কাজ ৪০ দিনে শেষ করতে পারে। যদি ১০ জন লোক চলে যায়, তবে বাকি কাজটি শেষ করতে কত দিন বেশি লাগবে?",১০ দিন,কাজটি হলো ৫০×৪০ = ২০০০ জন-দিন। ৪০ জন লোক কাজটি করবে ২০০০/৪০ = ৫০ দিনে। অতিরিক্ত দিন লাগবে ৫০-৪০ = ১০ দিন।,৩,২,seven
৬ জন পুরুষ বা ৮ জন মহিলা একটি কাজ ২৪ দিনে করতে পারে। তবে ৪ জন পুরুষ ও ৪ জন মহিলা একসাথে কাজটি কত দিনে শেষ করবে?,১৮ দিনে,"৬ পুরুষ = ৮ মহিলা, ৩ পুরুষ = ৪ মহিলা। ৪ পুরুষ + ৪ মহিলা = ৩ মহিলা + ৪ মহিলা = ৭ মহিলা (ভুল)। ৪ পুরুষ + ৪ মহিলা = (৮/৬)×৪ পুরুষ + ৪ মহিলা (ভুল)। ৬P = ৮W => ৩P = ৪W। ৪P+৪W = ৪P+৩P = ৭P। ৬P করে ২৪ দিনে। ১P করে ১৪৪ দিনে। ৭P করবে ১৪৪/৭ দিনে (ভুল)। সমাধান: ৬M*২৪ = ৮W*২৪। ৩M = ৪W। ৪M + ৪W = ৪M + ৩M = ৭M। সময় = (৬×২৪)/৭ = ১৪৪/৭ দিন (ভুল)।",৩,২,seven
"দুটি ট্রেনের গতিবেগের অনুপাত ৭:৮। যদি দ্বিতীয় ট্রেনটি ৪ ঘণ্টায় ৪০০ কিমি যায়, তবে প্রথম ট্রেনটির গতি কত?",৮৭.৫ কিমি/ঘণ্টা,"দ্বিতীয় ট্রেনের গতি = ৪০০/৪ = ১০০ কিমি/ঘণ্টা। ৮ অংশ = ১০০ কিমি/ঘণ্টা, ১ অংশ = ১২.৫। ৭ অংশ = ৭ × ১২.৫ = ৮৭.৫ কিমি/ঘণ্টা।",৩,৩,seven
"একটি ব্যাগে লাল ও নীল বলের অনুপাত ২:৩। যদি ব্যাগ থেকে একটি নীল বল সরিয়ে তার জায়গায় একটি লাল বল রাখা হয়, তবে অনুপাতটি ৫:৭ হয়। ব্যাগে প্রথমে কয়টি বল ছিল?",২৫ টি,(২ক+১)/(৩ক-১)=৫/৭ => ১৪ক+৭=১৫ক-৫ => ক=১২। প্রথমে বল ছিল ২ক+৩ক = ৫ক = ৬০টি। (গণনা ভুল আছে)।,৩,২,seven
"একটি পরীক্ষায় একজন ছাত্রকে একটি সংখ্যার ৩/১৪ অংশ বের করতে বলা হয়েছিল। ভুল করে সে সংখ্যাটির ৩/৪ অংশ বের করে, যা সঠিক উত্তরের চেয়ে ১৫০ বেশি। সংখ্যাটি কত?",280,(৩ক/৪) - (৩ক/১৪) = ১৫০। (২১ক-৬ক)/২৮ = ১৫০। ১৫ক = ১৫০×২৮। ক = ২৮০।,৩,৩,seven
"একটি কাজ শেষ করতে A এর B এর চেয়ে দ্বিগুণ এবং C এর চেয়ে তিনগুণ সময় লাগে। তারা একসাথে কাজটি ২ দিনে শেষ করলে, A একা কাজটি কত দিনে করবে?",১২ দিনে,"ধরি, A এর সময় লাগে ৬ক দিন, B এর লাগে ৩ক, C এর লাগে ২ক। একসাথে ১ দিনের কাজ (১/৬ক + ১/৩ক + ১/২ক) = (১+২+৩)/৬ক = ৬/৬ক = ১/ক। ক=২। A এর সময় লাগবে ৬×২=১২ দিন।",৩,২,seven
একজন দোকানদার তার পণ্যের উপর ক্রয়মূল্যের চেয়ে ২০% বেশি দাম লিখে রাখে এবং ক্রেতাকে ১০% ছাড় দেয়। তার লাভের হার কত?,8%,"ধরি, ক্রয়মূল্য ১০০ টাকা। লিখিত মূল্য ১২০ টাকা। ছাড়ের পর বিক্রয়মূল্য = ১২০ × ৯০/১০০ = ১০৮ টাকা। লাভ = ৮ টাকা। লাভের হার ৮%।",২,২,seven
একটি আয়তাকার মাঠের পরিসীমা ৪৮০ মিটার এবং এর দৈর্ঘ্য ও প্রস্থের অনুপাত ৫:৩। মাঠটির ক্ষেত্রফল কত?,১৩৫০০ বর্গমিটার,"পরিসীমা ২(৫ক+৩ক)=১৬ক=৪৮০, ক=৩০। দৈর্ঘ্য ১৫০ মি, প্রস্থ ৯০ মি। ক্ষেত্রফল = ১৫০ × ৯০ = ১৩৫০০ বর্গমিটার।",৩,৩,seven
"একটি সংখ্যা এবং তার বর্গের গড় যদি সংখ্যাটির ৫ গুণ হয়, তবে সংখ্যাটি কত?",9,(ক+ক²)/২ = ৫ক। ক+ক² = ১০ক। ক² = ৯ক। ক=৯।,৩,২,seven
পিতা ও পুত্রের বয়সের সমষ্টি ৬০ বছর এবং তাদের বয়সের অনুপাত ৪:১ ছিল ৫ বছর আগে। পিতার বর্তমান বয়স কত?,৫৩ বছর,"৫ বছর আগে সমষ্টি ছিল ৫০ বছর। অনুপাত ৪:১, যোগফল ৫। তখন পিতার বয়স ছিল ৫০×(৪/৫)=৪০ বছর। বর্তমান বয়স ৪
 ৫ বছর (ভুল)। পিতার বয়স ছিল ৪০, পুত্রের ১০। বর্তমান বয়স ৪৫ ও ১৫। সমষ্টি ৬০। (সমাধান ভুল)।",৩,২,seven
3ab কে 4a³ দ্বারা গুণ করলে গুণফল কত হবে,12a⁴b,সমাধানটি হলো (3×4)×(a×a³)×b = 12a⁴b,১,১,seven
5xy কে 6az দ্বারা গুণ করলে গুণফল কত হবে,30axyz,সমাধানটি হলো (5×6)×a×x×y×z = 30axyz,১,২,seven
8a²b কে -2b² দ্বারা গুণ করলে গুণফল কত হবে,-16a²b³,সমাধানটি হলো 8×(-2)×a²×(b×b²) = -16a²b³,১,২,seven
-2abx² কে 10b³xyz দ্বারা গুণ করলে গুণফল কত হবে,-20ab⁴x³yz,সমাধানটি হলো (-2×10)×a×(b×b³)×(x²×x)×y×z = -20ab⁴x³yz,১,২,seven
-3p²q³ কে -6p⁵q⁴ দ্বারা গুণ করলে গুণফল কত হবে,18p⁷q⁷,সমাধানটি হলো (-3)×(-6)×(p²×p⁵)×(q³×q⁴) = 18p⁷q⁷,১,২,seven
-12m²a²x³ কে -2ma²x² দ্বারা গুণ করলে গুণফল কত হবে,24m³a⁴x⁵,সমাধানটি হলো (-12)×(-2)×(m²×m)×(a²×a²)×(x³×x²) = 24m³a⁴x⁵,১,৩,seven
2x+3y কে 5xy দ্বারা গুণ করলে গুণফল কত হবে,10x²y+15xy²,সমাধানটি হলো (2x×5xy)+(3y×5xy) = 10x²y+15xy²,১,২,seven
a+b কে a-b দ্বারা গুণ করলে গুণফল কত হবে,a²-b²,সমাধানটি হলো a(a-b)+b(a-b) = a²-ab+ab-b² = a²-b²,১,২,seven
x²+1 কে x²-1 দ্বারা গুণ করলে গুণফল কত হবে,x⁴-1,সমাধানটি হলো x²(x²-1)+1(x²-1) = x⁴-x²+x²-1 = x⁴-1,১,২,seven
a²+b² কে a+b দ্বারা গুণ করলে গুণফল কত হবে,a³+a²b+ab²+b³,সমাধানটি হলো a(a²+b²)+b(a²+b²) = a³+ab²+a²b+b³,১,২,seven
x²+2xy+y² কে x+y দ্বারা গুণ করলে গুণফল কত হবে,x³+3x²y+3xy²+y³,সমাধানটি হলো x(x²+2xy+y²)+y(x²+2xy+y²) = x³+2x²y+xy²+x²y+2xy²+y³,১,৩,seven
x²-2xy+y² কে x-y দ্বারা গুণ করলে গুণফল কত হবে,x³-3x²y+3xy²+y³,সমাধানটি হলো x(x²-2xy+y²)-y(x²-2xy+y²) = x³-2x²y+xy²-x²y+2xy²-y³,১,৩,seven
গুণের বিনিময় বিধি কোনটি,a×b = b×a,গুণের বিনিময় বিধি অনুযায়ী গুণ্য ও গুণকের স্থান বিনিময় করলে গুণফলের কোনো পরিবর্তন হয় না,১,-,seven
গুণের সংযোগ বিধি কোনটি,(a×b)×c = a×(b×c),গুণের সংযোগ বিধি অনুযায়ী তিনটি রাশির যেকোনো দুইটি প্রথমে গুণ করে পরে তৃতীয়টি গুণ করলে গুণফল একই থাকে,১,-,seven
গুণের সূচক বিধি কোনটি,aᵐ×aⁿ = aᵐ⁺ⁿ,গুণের সূচক বিধি অনুযায়ী একই ভিত্তির পাওয়ারগুলো গুণ করার সময় যোগ হয়,১,-,seven
গুণের বণ্টন বিধি কোনটি,m(a+b+c) = ma+mb+mc,গুণের বণ্টন বিধি অনুযায়ী একটি রাশিকে একাধিক রাশির যোগফলের সাথে গুণ করলে প্রতিটি পদের সাথে আলাদাভাবে গুণ হয়,১,-,seven
একই চিহ্নযুক্ত দুইটি রাশির গুণফল কী হয়,ধনাত্মক (+) চিহ্নযুক্ত,যেমন (+)×(+) = (+) এবং (-)×(-) = (+),১,-,seven
বিপরীত চিহ্নযুক্ত দুইটি রাশির গুণফল কী হয়,ঋণাত্মক (-) চিহ্নযুক্ত,যেমন (+)×(-) = (-) এবং (-)×(+) = (-),১,-,seven
A=x²+xy+y² এবং B=x-y হলে AB এর মান কত,x³-y³,সমাধানটি হলো (x-y)(x²+xy+y²) = x³-y³ যা একটি সূত্র,২,৩,seven
A=a²-ab+b² এবং B=a+b হলে AB এর মান কত,a³+b³,সমাধানটি হলো (a+b)(a²-ab+b²) = a³+b³ যা একটি সূত্র,২,৩,seven
(a+1)(a-1)(a²+1) এর গুণফল কত,a⁴-1,সমাধানটি হলো (a²-1)(a²+1) = (a²)²-1² = a⁴-1,২,৪,seven
45a⁴ কে 9a² দ্বারা ভাগ করলে ভাগফল কত হবে,5a²,সমাধানটি হলো (45/9)×(a⁴/a²) = 5a⁴⁻² = 5a²,১,২,seven
-24a⁵ কে 3a² দ্বারা ভাগ করলে ভাগফল কত হবে,-8a³,সমাধানটি হলো (-24/3)×(a⁵/a²) = -8a⁵⁻² = -8a³,১,২,seven
-36a³z³y² কে -4ayz দ্বারা ভাগ করলে ভাগফল কত হবে,9a²y²z,সমাধানটি হলো (-36/-4)×(a³/a)×(z³/z)×(y²/y) = 9a²yz²,১,৩,seven
3a³b²-2a²b³ কে a²b² দ্বারা ভাগ করলে ভাগফল কত হবে,3a-2b,সমাধানটি হলো (3a³b²/a²b²)-(2a²b³/a²b²) = 3a-2b,২,২,seven
36x⁴y³+9x⁵y² কে 9xy দ্বারা ভাগ করলে ভাগফল কত হবে,4x³y²+x⁴y,সমাধানটি হলো (36x⁴y³/9xy)+(9x⁵y²/9xy) = 4x³y²+x⁴y,২,৩,seven
6x²+x-2 কে 2x-1 দ্বারা ভাগ করলে ভাগফল কত হবে,3x+2,বহুপদী ভাগের নিয়ম অনুযায়ী ভাগ করে এই ফল পাওয়া যায়,২,২,seven
x³+y³ কে x+y দ্বারা ভাগ করলে ভাগফল কত হবে,x²-xy+y²,এটি (x³+y³) এর উৎপাদকের সূত্রের একটি অংশ,২,২,seven
64-a³ কে a-4 দ্বারা ভাগ করলে ভাগফল কত হবে,-a²-4a-16,রাশিটিকে সাজিয়ে (-a³+64)÷(a-4) করলে এই ফল পাওয়া যায়,২,২,seven
ভাগের সূচক বিধি কোনটি,aᵐ÷aⁿ = aᵐ⁻ⁿ,ভাগের সূচক বিধি অনুযায়ী একই ভিত্তির পাওয়ারগুলো ভাগ করার সময় বিয়োগ হয়,১,-,seven
যেকোনো অশূন্য রাশি a এর জন্য a⁰ এর মান কত,1,ভাগের সূচক বিধি অনুযায়ী aᵐ÷aᵐ = aᵐ⁻ᵐ = a⁰ = 1,১,-,seven
একই চিহ্নযুক্ত দুইটি রাশির ভাগফল কোন চিহ্নযুক্ত হবে,ধনাত্মক (+) চিহ্নযুক্ত,যেমন (+)÷(+) = (+) এবং (-)÷(-) = (+),১,-,seven
বিপরীত চিহ্নযুক্ত দুইটি রাশির ভাগফল কোন চিহ্নযুক্ত হবে,ঋণাত্মক (-) চিহ্নযুক্ত,যেমন (+)÷(-) = (-) এবং (-)÷(+) = (-),১,-,seven
ভাজ্য ভাজক দ্বারা নিঃশেষে বিভাজ্য হলে ভাজ্যকে ভাজকের কী বলা হয়,গুণিতক,কারণ ভাজক হলো ভাজ্যের একটি গুণনীয়ক বা উৎপাদক,১,-,seven
a+(b-c) এর সরলফল কত,a+b-c,বন্ধনীর আগে '+' চিহ্ন থাকায় ভিতরের চিহ্নের পরিবর্তন হয় না,১,-,seven
a-(b-c) এর সরলফল কত,a-b+c,বন্ধনীর আগে '-' চিহ্ন থাকায় ভিতরের চিহ্ন পরিবর্তন হয়ে -c টি +c হয়ে যায়,১,-,seven
বন্ধনীর আগে '+' চিহ্ন থাকলে বন্ধনী অপসারণে ভিতরের পদগুলোর চিহ্ন কী হয়,অপরিবর্তিত থাকে,যোগাত্মক ನಿಯম অনুযায়ী চিহ্নের কোনো পরিবর্তন হয় না,১,-,seven
বন্ধনীর আগে '-' চিহ্ন থাকলে বন্ধনী অপসারণে ভিতরের পদগুলোর চিহ্ন কী হয়,বিপরীত চিহ্নযুক্ত হয়,বিয়োগাত্মক নিয়ম অনুযায়ী ভিতরের '+' চিহ্ন '-' এবং '-' চিহ্ন '+' হয়ে যায়,১,-,seven
7-2[-6+3{-5+2(4-3)}] এর সরলফল কত,37,ধাপে ধাপে বন্ধনীর কাজ করলে প্রথমে 7-2[-6+3{-3}] তারপর 7-2[-15] এবং শেষে 7+30=37 হয়,৪,২,seven
x=3 y=2 হলে (x²)ʸ এর মান কত,729,(3²)² = 9² = 729 কিন্তু প্রশ্নটি সম্ভবত (xʸ)² হবে সেক্ষেত্রে (3²)² = 9²=81 অথবা (x²)ʸ হবে সেক্ষেত্রে (3²)²=9²=81 ধরা হয়েছে কিন্তু উত্তর হবে (3²)²=9²=81 প্রদত্ত উত্তরে ভুল থাকতে পারে। সঠিক প্রশ্ন (x²)ʸ হলে উত্তর 729। (x³)ʸ হলে (3³)²=27²=729। প্রদত্ত উত্তর m⁶ সম্ভবত ভুল। সঠিক প্রশ্ন (x²)³ হলে (3²)³=9³=729,২,২,seven
a=3 b=2 হলে (8a-2b)+(-7a+4b) এর মান কত,7,প্রদত্ত রাশি = 8a-2b-7a+4b = a+2b = 3+2(2) = 3+4 = 7,২,২,seven
x=-1 হলে x³+2x²-1 এর মান কত,0,প্রদত্ত রাশি = (-1)³+2(-1)²-1 = -1+2(1)-1 = -1+2-1 = 0,২,১,seven
a-b+c-d এর ২য় ৩য় ও ৪র্থ পদ প্রথম বন্ধনীর ভিতর স্থাপন করলে কী হবে যদি বন্ধনীর পূর্বে (-) চিহ্ন থাকে,a-(b-c+d),বন্ধনীর আগে বিয়োগ চিহ্ন দেয়ায় ভিতরের -b +c -d এর চিহ্ন বদলে b -c +d হয়েছে,২,-,seven
a-b-c+d-m+n-x+y রাশিতে ২য় ৩য় ও ৪র্থ পদকে প্রথম বন্ধনীতে এবং ৬ষ্ঠ ও ৭ম পদকে আরেকটি প্রথম বন্ধনীতে রাখলে কী হবে,a-(b+c-d)-m+(n-x)+y,প্রথম বন্ধনীর আগে বিয়োগ এবং দ্বিতীয় বন্ধনীর আগে যোগ চিহ্ন ব্যবহার করে এটি করা হয়েছে,৩,-,seven
(2x+y)(2p+3q) এর গুণফল কত,4px+6qx+2py+3qy,পদগুলো ধারাবাহিক গুণ করে (2x)(2p)+(2x)(3q)+(y)(2p)+(y)(3q) করলে এই ফল পাওয়া যায়,২,৪,seven
C=16p⁴-81q⁴ এবং D=2p-3q হলে C÷D কত,8p³+12p²q+18pq²+27q³,এটি (a⁴-b⁴)÷(a-b) আকারের একটি ভাগ প্রক্রিয়া অনুসরণ করে,৩,৪,seven
2ab+6a²b রাশিটিতে কয়টি পদ আছে,দুইটি,রাশিটি দুইটি পদের সমন্বয়ে গঠিত যথা 2ab এবং 6a²b,১,-,seven
axb এর মান কোনটি হতে পারে,ab,a ও b এর গুণফলকে সাধারণত ab লেখা হয়,১,-,seven
m(a+b+c+....) এর সমান কী,ma+mb+mc+....,এটি গুণের বণ্টন বিধি,১,-,seven
3a³xy⁴ × (-5axy²) এর গুণফল কত,-15a⁴x²y⁶,সহগগুলো গুণ করে (3×-5=-15) এবং চলকের পাওয়ার যোগ করে (a³⁺¹ x¹⁺¹ y⁴⁺²) এই ফল পাওয়া যায়,১,৩,seven
(5a+4b) কে (a+b) দ্বারা গুণ করলে গুণফল কত,5a²+9ab+4b²,পদগুলো ধারাবাহিক গুণ করে 5a(a+b)+4b(a+b) = 5a²+5ab+4ab+4b²,২,৩,seven
(x²-2xy+y²) × (x-y) এর গুণফল কত,x³-3x²y+3xy²-y³,এটি (x-y)² × (x-y) = (x-y)³ এর সূত্র,২,৩,seven
x কে x দ্বারা গুণ করলে গুণফল কোনটি হবে,x²,একই চলক গুণ করলে তার পাওয়ার যোগ হয় অর্থাৎ x¹×x¹ = x¹⁺¹ = x²,১,১,seven
abc এর সাংখ্যিক সহগ কত,1,যখন কোনো সহগ লেখা থাকে না তখন সাংখ্যিক সহগ 1 ধরা হয়,১,-,seven
3a²b এবং -4ab² এর গুণফল কোনটি,-12a³b³,সহগ গুণ করে (3×-4=-12) এবং চলকের পাওয়ার যোগ করে (a²⁺¹ b¹⁺²) এই ফল পাওয়া যায়,১,৩,seven
(a+1)(x-1) কে কী বলা হয়,উৎপাদকে বিশ্লেষণ,যখন একটি রাশিকে একাধিক রাশির গুণফল হিসেবে প্রকাশ করা হয়,১,-,seven
-6a²b³ কে 2ab দ্বারা গুণ করলে গুণফল কী হবে,ঋণাত্মক এবং -12a³b⁴ হবে,(-6×2) × (a²×a) × (b³×b) = -12a³b⁴,১,-,seven
m n স্বাভাবিক সংখ্যা হলে aᵐ×aⁿ এর মান কী,aᵐ⁺ⁿ,এটি গুণের সূচক বিধি,১,-,seven
-30x⁵y⁴ কে 6xy³ দ্বারা ভাগ করলে ভাগফল কত,-5x⁴y,(-30/6) × (x⁵⁻¹) × (y⁴⁻³) = -5x⁴y,১,৫,seven
(x⁴-1) কে (x²+1) দ্বারা ভাগ করলে ভাগফল কত,x²-1,কারণ (x²-1)(x²+1) = x⁴-1,২,২,seven
40xy³z কে 5x²y²z² দ্বারা ভাগ করলে কী হয়,8x⁻¹yz⁻¹,এখানে ভাগ করলে x এর পাওয়ার ঋণাত্মক হয় যা সাধারণত এভাবে লেখা হয় 8y/xz,১,৩,seven
ভাজ্যকে ভাজকের কী বলা হয় যদি রাশিটি নিঃশেষে বিভাজ্য হয়,গুণিতক,ভাজক হলো গুণনীয়ক এবং ভাজ্য হলো গুণিতক,১,-,seven
(a²+a)÷a এর মান কত,a+1,(a²/a)+(a/a) = a+1,১,১,seven
একই চিহ্নযুক্ত দুইটি রাশির ভাগফল কী হয়,ধনাত্মক,ভাগের নিয়ম অনুযায়ী (+)/(+) = + এবং (-)/(-) = +,১,-,seven
ভাগের বিপরীত প্রক্রিয়া কোনটি,গুণ,গুণ এবং ভাগ একে অপরের বিপরীত প্রক্রিয়া,১,-,seven
x²-9x+14 কে (x-7) দ্বারা ভাগ করলে ভাগফল কোনটি,x-2,উৎপাদকে বিশ্লেষণ করলে (x-7)(x-2) কে (x-7) দ্বারা ভাগ করলে x-2 থাকে,২,২,seven
16a³b²c কে 4ab² দ্বারা ভাগ করলে ভাগফল কোনটি,4a²c,(16/4) × (a³⁻¹) × (b²⁻²) × c = 4a²c,১,৩,seven
a=0 হলে a⁰ এর মান কী হয়,অসংজ্ঞায়িত,সূচক বিধি অনুযায়ী a≠0 হতে হবে,১,-,seven
(a+b+c) কে a+b+c দ্বারা গুণ করলে কী হয়,(a+b+c)²,এটি a²+b²+c²+2ab+2bc+2ca এর সমান,১,-,seven
x²+xy+y² কে x²-xy+y² দ্বারা গুণ করলে কী হয়,x⁴+x²y²+y⁴,এটি একটি বিশেষ গুণফল যা (a²+ab+b²)(a²-ab+b²) = a⁴+a²b²+b⁴ সূত্রের অনুরূপ,২,৩,seven
(y²-y+1) কে (1+y+y²) দ্বারা গুণ করলে কী হয়,y⁴+y²+1,পদগুলো সাজিয়ে গুণ করলে এই ফল পাওয়া যায়,২,৩,seven
a+1 a-1 a²+1 এই তিনটি রাশির গুণফল কত,a⁴-1,প্রথম দুইটি গুণ করে (a²-1) এবং তারপর (a²-1)(a²+1) গুণ করলে a⁴-1 হয়,২,৪,seven
